sample_id,test_type,result_value,unit,run_date,operator_id,site_code,status
MLN-2026-00001,pH,733.4045,pass/fail,2025-01-01 00:00:00,A.Kumar,MIL,passed
MLN-2026-00002,microbial_limit,,mg/mL,2025-01-01 10:00:00,R.Tanaka,MIL,passed
MLN-2026-00003,pH,192.5897,EU/mL,2025-01-01 20:00:00,J.Wong,MIL,passed
MLN-2026-00004,microbial_limit,97.6278,pass/fail,2025-01-02 00:00:00,A.Kumar,MIL,passed
MLN-2026-00005,pH,897.7968,mg/mL,2025-02-01 16:00:00,J.Wong,MIL,passed
MLN-2026-00006,microbial_limit,349.902,mg/mL,2025-03-01 02:00:00,UNKNOWN,MIL,failed
MLN-2026-00007,pH,551.3219,pH,2025-03-01 12:00:00,J.Wong,MIL,pending
MLN-2026-00008,endotoxin,359.5495,mg/mL,2025-03-01 22:00:00,A.Kumar,MIL,passed
MLN-2026-00009,potency,125.8111,pass/fail,2025-04-01 08:00:00,A.Kumar,MIL,passed
MLN-2026-00010,pH,589.3358,CFU/g,2025-04-01 18:00:00,T.Smith,MIL,passed
MLN-2026-00011,potency,525.1456,pass/fail,2025-01-05 00:00:00,A.Kumar,MIL,passed
MLN-2026-00012,endotoxin,203.0015,EU/mL,2025-05-01 14:00:00,J.Wong,MIL,failed
MLN-2026-00013,endotoxin,451.8745,mg/mL,2025-06-01 00:00:00,T.Smith,MIL,passed
MLN-2026-00014,microbial_limit,796.9495,mg/mL,2025-06-01 10:00:00,A.Kumar,MIL,passed
MLN-2026-00015,potency,590.4302,mg/mL,2025-06-01 20:00:00,A.Kumar,MIL,passed
MLN-2026-00016,sterility,96.9264,mg/mL,2025-07-01 06:00:00,UNKNOWN,MIL,failed
MLN-2026-00017,microbial_limit,548.026,pH,2025-07-01 16:00:00,T.Smith,MIL,pending
MLN-2026-00018,potency,702.7413,pH,2025-08-01 02:00:00,UNKNOWN,MIL,failed
MLN-2026-00019,pH,792.7055,CFU/g,2025-08-01 12:00:00,UNKNOWN,MIL,failed
MLN-2026-00020,pH,629.1213,mg/mL,2025-08-01 22:00:00,UNKNOWN,MIL,passed
MLN-2026-00021,endotoxin,152.6666,EU/mL,2025-09-01 08:00:00,R.Tanaka,MIL,failed
MLN-2026-00022,sterility,710.1762,CFU/g,2025-09-01 18:00:00,UNKNOWN,MIL,pending
MLN-2026-00023,pH,677.3451,mg/mL,2025-10-01 04:00:00,J.Wong,MIL,passed
MLN-2026-00024,potency,24.4366,pH,2025-10-01 14:00:00,A.Kumar,MIL,passed
MLN-2026-00025,potency,411.7536,EU/mL,2025-11-01 00:00:00,R.Tanaka,MIL,failed
MLN-2026-00026,pH,332.9569,CFU/g,2025-11-01 10:00:00,UNKNOWN,MIL,pending
MLN-2026-00027,potency,669.4154,EU/mL,2025-11-01 20:00:00,A.Kumar,MIL,
MLN-2026-00028,potency,216.1437,mg/mL,2025-12-01 06:00:00,T.Smith,MIL,failed
