SampleID,TestType,Result,Unit,test_date,Operator,Status
VIM-2026-00001,sterility,4.475,pass/fail,2025-01-01,OP004,passed
VIM-2026-00002,bioburden,5.699,EU/mL,2025-01-01,OP003,pending
VIM-2026-00003,pH,11.99,EU/mL,2025-01-01,OP005,passed
VIM-2026-00004,sterility,4.778,pass/fail,2025-01-02,OP001,passed
VIM-2026-00005,sterility,2.788,pass/fail,2025-01-02,OP005,passed
VIM-2026-00006,bioburden,8.017,pass/fail,2025-01-02,OP001,passed
VIM-2026-00007,pH,13.138,CFU/mL,2025-01-03,OP002,passed
VIM-2026-00008,pH,9.896,EU/mL,2025-01-03,OP001,passed
VIM-2026-00009,sterility,8.196,CFU/mL,2025-01-03,OP004,failed
VIM-2026-00010,endotoxin,,CFU/mL,2025-01-04,OP003,failed
VIM-2026-00011,sterility,8.803,pass/fail,2025-01-04,OP002,passed
VIM-2026-00012,sterility,13.866,pass/fail,2025-01-04,OP001,pending
VIM-2026-00013,sterility,2.391,pH,2025-01-05,OP005,passed
VIM-2026-00014,sterility,7.497,pH,2025-01-05,OP002,passed
VIM-2026-00015,bioburden,12.345,CFU/mL,2025-01-05,OP002,passed
VIM-2026-00016,pH,10.5,EU/mL,2025-01-06,OP001,pending
VIM-2026-00017,bioburden,9.91,pass/fail,2025-01-06,OP002,passed
VIM-2026-00018,bioburden,,pass/fail,2025-01-06,OP005,passed
VIM-2026-00019,bioburden,5.353,CFU/mL,2025-01-07,OP002,passed
VIM-2026-00020,sterility,4.463,pH,2025-01-07,OP005,passed
VIM-2026-00021,endotoxin,11.426,EU/mL,2025-01-07,OP001,passed
VIM-2026-00022,pH,11.437,pH,2025-01-08,OP003,passed
VIM-2026-00023,endotoxin,12.205,pH,2025-01-08,OP002,passed
VIM-2026-00024,bioburden,12.829,pH,2025-01-08,OP003,passed
VIM-2026-00025,bioburden,7.403,pH,2025-01-09,OP005,passed
VIM-2026-00026,endotoxin,7.27,pass/fail,2025-01-09,OP002,passed
VIM-2026-00027,endotoxin,11.277,pass/fail,2025-01-09,OP004,passed
VIM-2026-00028,endotoxin,9.275,pH,2025-01-10,OP003,passed
VIM-2026-00029,bioburden,,EU/mL,2025-01-10,OP002,passed
VIM-2026-00030,bioburden,11.243,CFU/mL,2025-01-10,OP003,passed
VIM-2026-00031,pH,12.515,EU/mL,2025-01-11,OP002,passed
VIM-2026-00032,pH,5.063,EU/mL,2025-01-11,OP001,pending
VIM-2026-00033,bioburden,5.57,EU/mL,2025-01-11,OP003,passed
VIM-2026-00034,endotoxin,1.769,pH,2025-01-12,OP004,passed
VIM-2026-00035,endotoxin,8.307,pass/fail,2025-01-12,OP004,passed
VIM-2026-00036,pH,0.985,EU/mL,2025-01-12,OP005,passed
VIM-2026-00037,bioburden,6.786,pH,2025-01-13,,passed
VIM-2026-00038,pH,7.826,EU/mL,2025-01-13,OP003,passed
VIM-2026-00039,pH,4.368,EU/mL,2025-01-13,OP005,passed
VIM-2026-00040,sterility,8.476,pH,2025-01-14,OP003,passed
VIM-2026-00041,sterility,0.912,pass/fail,2025-01-14,OP002,pending
VIM-2026-00042,sterility,1.004,pass/fail,2025-01-14,OP004,failed
