meal_expenses,accommodation_expenses,transport_expenses,days,distance_km,is_fraud
45,120,30,3,150,0
800,500,400,1,50,1
60,100,25,2,200,0
55,130,35,4,300,0
900,600,350,1,30,1
70,110,40,3,250,0
40,90,20,2,100,0
750,450,500,2,40,1
65,105,30,3,180,0
950,700,600,1,20,1
50,115,28,4,350,0
42,95,22,2,120,0
880,550,450,1,45,1
58,108,32,3,220,0
48,125,35,5,400,0
920,650,500,1,25,1
55,100,27,2,160,0
62,112,38,4,280,0
850,480,420,1,35,1
44,98,24,2,140,0
72,135,42,5,380,0
780,520,380,1,55,1
52,102,29,3,190,0
46,88,21,1,80,0
910,680,550,1,15,1
68,118,36,4,320,0
38,85,18,2,90,0
870,530,470,2,42,1
57,107,33,3,210,0
43,92,23,2,110,0
