age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
49,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,wed,227,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
37,entrepreneur,married,university.degree,no,no,no,telephone,nov,wed,202,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,0
73,retired,married,basic.4y,no,no,no,cellular,jul,mon,1286,13,1680,8,nonexistent,6.256616822051953,95.38589907076755,-24.80192940135604,9.739951214903197,4894.566212826474,1
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
59,retired,divorced,university.degree,no,no,no,cellular,jun,tue,368,2,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,0
29,admin.,single,university.degree,no,no,no,cellular,aug,wed,256,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
26,student,single,basic.9y,no,no,no,telephone,aug,wed,449,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,1
30,blue-collar,married,basic.4y,no,yes,no,cellular,nov,wed,126,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
73,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,1255,-6,1536,8,nonexistent,5.22913149300848,91.72133441209883,-22.047854312934778,-1.9195096201252981,5423.466576137617,0
33,admin.,single,high.school,no,yes,no,cellular,jul,tue,498,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,services,divorced,high.school,no,yes,no,cellular,jul,mon,158,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
32,technician,married,university.degree,no,yes,no,telephone,may,fri,93,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
26,self-employed,single,professional.course,no,yes,no,cellular,jul,thu,71,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
43,management,married,university.degree,no,no,yes,telephone,jul,thu,203,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0
56,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,369,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
40,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,954,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,1
5,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,1193,10,1589,8,nonexistent,-5.62265845127892,95.70362762698602,-22.858498398488813,9.05542538398529,4932.728142257681,0
8,technician,single,professional.course,unknown,no,no,telephone,may,tue,1043,10,380,8,nonexistent,-6.1293443896070485,91.32135019684853,-56.382466400582516,-1.8411685836239338,5400.3408128235,0
71,services,single,basic.4y,no,yes,no,telephone,may,tue,1046,-7,328,8,nonexistent,-5.236885391454123,91.63881891705196,-56.613877462199916,-3.1760633140282337,5405.642667644067,0
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,288,2,3,1,success,-1.8,93.369,-34.8,0.652,5008.7,1
46,services,married,unknown,no,no,no,cellular,aug,tue,177,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
39,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,155,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
2,admin.,divorced,basic.6y,no,no,no,telephone,jul,mon,-737,10,319,8,nonexistent,6.050988819858439,95.78170278575874,-56.36664059699872,9.581914268655352,5448.836202591223,0
30,technician,single,unknown,no,yes,no,telephone,may,mon,144,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
55,unemployed,divorced,university.degree,no,no,no,cellular,mar,tue,212,3,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,1
2,blue-collar,single,basic.4y,no,yes,no,cellular,oct,fri,1252,-7,333,8,failure,4.969592132842821,91.66944059470084,-57.3106813816277,-1.9907282370962263,4929.346157735503,0
46,services,married,high.school,no,no,no,cellular,apr,wed,325,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0
