ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
22789,160000.0,2,2,2,33,2,2,3,2,0,0,161771.0,172632.0,168541.0,164310.0,162681.0,163005.0,15000.0,0.0,0.0,6100.0,12300.0,6100.0,0
29007,150000.0,2,1,2,34,1,-1,-1,-2,-2,-2,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0
-12577,-327382.68050037214,3,7,4,64,9,9,9,9,9,9,-228172.8410779873,-214961.35471679672,271399.5970232544,-168794.9584601722,-154812.57590960857,-175791.99205291294,63663.44029390845,86537.47843747496,70749.66061109444,-53737.934906828974,-43660.16556576911,62458.747587784026,0
-12473,671866.3477032946,3,7,4,68,9,9,9,9,9,9,304953.03502056724,331143.0901557314,255722.30613081343,-198957.434339201,-183724.08880444735,219353.66034884573,-49275.739305661875,-61871.799012996846,73875.2050055096,61683.07390663292,-44683.847056439314,-53835.35538899792,1
11347,310000.0,2,1,2,32,1,-2,-1,0,0,-2,0.0,0.0,326.0,326.0,-235.0,-235.0,0.0,326.0,0.0,0.0,0.0,1200.0,0
4103,240000.0,2,1,2,36,-1,-1,2,0,-1,2,5367.0,6959.0,6649.0,5149.0,13750.0,5777.0,6959.0,15.0,0.0,7013.0,0.0,726.0,1
28655,160000.0,2,3,2,33,-1,2,2,2,2,-2,18195.0,755.0,44255.0,43228.0,-772.0,-772.0,0.0,43500.0,0.0,0.0,0.0,3000.0,0
26151,50000.0,2,2,1,34,3,3,2,2,2,2,47904.0,48240.0,48602.0,46289.0,44837.0,44535.0,2000.0,2001.0,499.0,2000.0,2000.0,1500.0,1
15092,360000.0,1,1,1,32,0,0,0,0,0,0,120533.0,124530.0,128518.0,134368.0,135626.0,134864.0,6000.0,6000.0,8000.0,4918.0,5000.0,3300.0,0
-11111,627594.8354999254,3,7,4,69,9,9,9,9,9,9,-170503.84334989736,-194446.94610191876,-198072.7157853564,287152.06415825814,-178171.48533008326,-195096.405883564,-54228.39442412898,83658.93823508098,58619.42744867263,56339.66459333604,53837.62071880095,66887.9887132774,0
23788,30000.0,2,2,1,49,1,2,-1,-1,-1,2,10440.0,9972.0,16073.0,6342.0,8073.0,1731.0,0.0,16101.0,6342.0,1731.0,0.0,5517.0,0
4145,200000.0,2,1,2,42,-1,-1,2,-1,-1,-1,660.0,1320.0,660.0,1320.0,1320.0,1710.0,1320.0,0.0,1320.0,1320.0,1710.0,27077.0,1
-15810,-323283.1982777201,3,7,4,0,9,9,9,9,9,9,-207264.24021418777,277645.9441393045,-202934.25149093187,281699.0928822297,-188838.74927058702,-171954.290377382,58540.40444337948,-58495.86262938621,74804.82137133928,-54412.53761857,-51739.756522461576,-52328.83252813404,1
17346,130000.0,2,2,1,34,0,0,0,0,-2,-2,41379.0,24462.0,15720.0,0.0,0.0,0.0,3057.0,1047.0,0.0,0.0,0.0,0.0,0
1093,210000.0,1,3,1,29,1,2,0,0,0,0,198510.0,194040.0,199393.0,194538.0,195990.0,194136.0,0.0,10000.0,7000.0,8000.0,8000.0,7200.0,0
25228,90000.0,2,1,2,24,0,0,0,0,0,0,53173.0,19825.0,20840.0,21023.0,20776.0,21055.0,1324.0,1339.0,1638.0,890.0,763.0,769.0,0
