pipeline,dataset,condition,run,f1,auc,precision,recall,fit_time_s,predict_time_s,best_model,positive_class,decision_threshold,n_train,n_test,timestamp
full_auto_automl,bank_marketing,clean,1,0.6772908366533864,0.9556986768243784,0.574755822689707,0.8243534482758621,318.1,2.81,LightGBM_BAG_L1,1,0.294,32950,8238,2026-09-23T10:57:02
full_auto_automl,bank_marketing,missing_mild,1,0.6784922394678492,0.9560692721354781,0.5764883195177091,0.8243534482758621,305.2,5.51,LightGBM_BAG_L1,1,0.299,32950,8238,2026-09-23T11:02:13
full_auto_automl,bank_marketing,missing_severe,1,0.6715141146278871,0.9560558575876221,0.5567375886524822,0.8459051724137931,303.0,7.94,LightGBMXT_BAG_L1,1,0.269,32950,8238,2026-09-23T11:07:24
full_auto_automl,bank_marketing,outlier_mild,1,0.6804029304029304,0.9563150089626868,0.5915605095541401,0.8006465517241379,301.2,4.66,LightGBM_BAG_L1,1,0.32,32950,8238,2026-09-23T11:12:30
full_auto_automl,bank_marketing,outlier_severe,1,0.6704495853339153,0.9558870701448182,0.5634629493763756,0.8275862068965517,304.0,1.26,LightGBM_BAG_L1,1,0.281,32950,8238,2026-09-23T11:17:36
full_auto_automl,bank_marketing,noise_mild,1,0.6636475916014821,0.9542420927873956,0.5369753497668222,0.8685344827586207,302.3,1.1,LightGBM_BAG_L1,1,0.257,32950,8238,2026-09-23T11:22:39
full_auto_automl,bank_marketing,noise_severe,1,0.49768833288006525,0.9468096962120853,0.3328483084758094,0.9859913793103449,300.6,3.03,WeightedEnsemble_L2,1,0.239,32950,8238,2026-09-23T11:27:43
full_auto_automl,online_shoppers,clean,1,0.6691542288557214,0.9300956678156184,0.6374407582938388,0.7041884816753927,300.4,0.54,LightGBM_BAG_L1,1,0.344,9864,2466,2026-09-23T11:32:45
full_auto_automl,online_shoppers,missing_mild,1,0.6759847522236341,0.9307199706565105,0.6567901234567901,0.6963350785340314,2446.3,0.76,LightGBM_BAG_L1,1,0.357,9864,2466,2026-09-23T12:13:32
full_auto_automl,online_shoppers,missing_severe,1,0.6717948717948717,0.9251138065138528,0.6582914572864321,0.6858638743455497,299.9,2.48,WeightedEnsemble_L2,1,0.438,9864,2466,2026-09-23T12:18:34
full_auto_automl,online_shoppers,outlier_mild,1,0.6601941747572816,0.9290543256524404,0.7020648967551623,0.6230366492146597,1578.9,0.92,LightGBMXT_BAG_L1,1,0.442,9864,2466,2026-09-23T12:44:54
full_auto_automl,online_shoppers,outlier_severe,1,0.6650426309378806,0.9264654158836712,0.621867881548975,0.7146596858638743,299.9,2.16,WeightedEnsemble_L2,1,0.377,9864,2466,2026-09-23T12:49:56
full_auto_automl,online_shoppers,noise_mild,1,0.6706730769230769,0.9261966013807518,0.62,0.7303664921465969,299.2,2.62,WeightedEnsemble_L2,1,0.379,9864,2466,2026-09-23T12:54:58
full_auto_automl,online_shoppers,noise_severe,1,0.3007893643539676,0.8295251278753103,0.17876543209876544,0.9476439790575916,301.7,1.49,WeightedEnsemble_L2,1,0.356,9864,2466,2026-09-23T13:00:02
full_auto_automl,credit_card,clean,1,0.5093457943925234,0.7578063531283548,0.5269943593875906,0.49284099472494347,302.2,1.99,WeightedEnsemble_L2,1,0.441,24000,6000,2026-09-23T13:05:06
full_auto_automl,credit_card,missing_mild,1,0.5011857707509881,0.7392818111581048,0.5270157938487116,0.4777694046721929,302.2,2.14,WeightedEnsemble_L2,1,0.471,24000,6000,2026-09-23T13:10:11
full_auto_automl,credit_card,missing_severe,1,0.5010830324909747,0.7381186249923603,0.48094248094248093,0.5229841748304446,302.2,3.17,WeightedEnsemble_L2,1,0.426,24000,6000,2026-09-23T13:15:16
full_auto_automl,credit_card,outlier_mild,1,0.5209267563527653,0.7558536259301014,0.5166790214974055,0.5252449133383572,302.2,3.51,WeightedEnsemble_L2,1,0.432,24000,6000,2026-09-23T13:20:22
full_auto_automl,credit_card,outlier_severe,1,0.5257606490872211,0.7623364576860997,0.5694200351493849,0.4883195177091183,302.4,5.09,WeightedEnsemble_L2,1,0.422,24000,6000,2026-09-23T13:25:30
full_auto_automl,credit_card,noise_mild,1,0.5138063614120937,0.7528097162570788,0.4791395045632334,0.5538809344385832,302.3,2.08,WeightedEnsemble_L2,1,0.399,24000,6000,2026-09-23T13:30:35
full_auto_automl,credit_card,noise_severe,1,0.362221918929985,0.7252646357379233,0.22116666666666668,1.0,299.4,1.3,NeuralNetFastAI_BAG_L1,1,0.07700000000000001,24000,6000,2026-09-23T13:35:36
